"cableid","cablename","length"
"5","1&1 Router Micro USB","0.50"
"4","GIANAC Micro USB","3.00"
"3","GIANAC Micro USB","2.00"
"2","GIANAC Micro USB","1.00"
"1","GIANAC Micro USB","0.50"
