piid,cabin,camera,storage,cable,pi_name
5,H01504,5,5,5,Raspberry Pi Zero W V1.1
4,H01504,4,4,4,Raspberry Pi Zero W V1.1
3,H01504,3,3,3,Raspberry Pi Zero W V1.1
2,H01504,2,2,2,Raspberry Pi Zero W V1.1
1,H01504,1,1,1,Raspberry Pi Zero W V1.1
